map_creation_id,M0,M1,M2,M3,M4,M5,M6
1512381557289.368,0,0,0,10,0,10,10
1512381557289.378,0,0,0,8,0,8,8
1512381557289.389,0,0,0,6,0,6,6
1512381557289.400,0,0,0,4,0,4,4
1512381557289.412,0,0,0,2,0,2,2
1512381557289.420,0,0,0,0,0,0,0
1512381557289.429,0,0,0,0,0,0,0
1512381557289.439,2,2,2,0,0,2,2
1512381557289.451,4,4,4,0,0,4,4
1512381557289.463,6,6,6,0,0,6,6
1512381557289.475,8,8,8,0,0,8,8
1512381557289.487,10,10,10,0,0,10,10
1512381557289.500,10,10,10,0,0,10,10
1512381557289.512,8,8,8,0,0,8,8
1512381557289.526,6,6,6,0,0,6,6
1512381557289.538,4,4,4,0,0,4,4
1512381557289.550,2,2,2,0,0,2,2
1512381557289.564,0,0,0,0,0,0,0
1512381557289.574,0,0,0,0,0,0,0
1512381557289.585,0,2,2,0,0,2,2
1512381557289.598,0,4,4,0,0,4,4
1512381557289.610,0,6,6,0,0,6,6
1512381557289.622,0,8,8,0,0,8,8
1512381557289.633,0,10,10,0,0,10,10
1512381557289.647,0,10,10,0,0,10,10
1512381557289.658,0,8,8,0,0,8,8
1512381557289.669,0,6,6,0,0,6,6
1512381557289.679,0,4,4,0,0,4,4
1512381557289.690,0,2,2,0,0,2,2
1512381557289.700,0,0,0,0,0,0,0
1512381557289.709,0,0,0,0,0,0,0
1512381557289.719,2,0,2,0,0,2,2
1512381557289.730,4,0,4,0,0,4,4
1512381557289.741,6,0,6,0,0,6,6
1512381557289.750,8,0,8,0,0,8,8
1512381557289.759,10,0,10,0,0,10,10
1512381557289.768,10,0,10,0,0,10,10
1512381557289.777,8,0,8,0,0,8,8
1512381557289.788,6,0,6,0,0,6,6
1512381557289.797,4,0,4,0,0,4,4
1512381557289.808,2,0,2,0,0,2,2
1512381557289.818,0,0,0,0,0,0,0
1512381557289.828,0,0,0,0,0,0,0
1512381557289.840,0,0,2,0,0,2,2
1512381557289.853,0,0,4,0,0,4,4
1512381557289.864,0,0,6,0,0,6,6
1512381557289.874,0,0,8,0,0,8,8
1512381557289.884,0,0,10,0,0,10,10
1512381557289.894,0,0,10,0,0,10,10
1512381557289.905,0,0,8,0,0,8,8
1512381557289.917,0,0,6,0,0,6,6
1512381557289.927,0,0,4,0,0,4,4
1512381557289.937,0,0,2,0,0,2,2
1512381557289.947,0,0,0,0,0,0,0
1512381557289.956,0,0,0,0,0,0,0
1512381557289.967,2,2,0,0,0,2,2
1512381557289.978,4,4,0,0,0,4,4
1512381557289.991,6,6,0,0,0,6,6
1512381557290.003,8,8,0,0,0,8,8
1512381557290.015,10,10,0,0,0,10,10
1512381557290.026,10,10,0,0,0,10,10
1512381557290.037,8,8,0,0,0,8,8
1512381557290.047,6,6,0,0,0,6,6
1512381557290.057,4,4,0,0,0,4,4
1512381557290.068,2,2,0,0,0,2,2
1512381557290.079,0,0,0,0,0,0,0
1512381557290.089,0,0,0,0,0,0,0
1512381557290.101,0,2,0,0,0,2,2
1512381557290.113,0,4,0,0,0,4,4
1512381557290.126,0,6,0,0,0,6,6
1512381557290.137,0,8,0,0,0,8,8
1512381557290.149,0,10,0,0,0,10,10
1512381557290.163,0,10,0,0,0,10,10
1512381557290.176,0,8,0,0,0,8,8
1512381557290.187,0,6,0,0,0,6,6
1512381557290.196,0,4,0,0,0,4,4
1512381557290.206,0,2,0,0,0,2,2
1512381557290.215,0,0,0,0,0,0,0
1512381557290.225,0,0,0,0,0,0,0
1512381557290.234,2,0,0,0,0,2,2
1512381557290.246,4,0,0,0,0,4,4
1512381557290.256,6,0,0,0,0,6,6
1512381557290.264,8,0,0,0,0,8,8
1512381557290.273,10,0,0,0,0,10,10
1512381557290.285,10,0,0,0,0,10,10
1512381557290.296,8,0,0,0,0,8,8
1512381557290.306,6,0,0,0,0,6,6
1512381557290.316,4,0,0,0,0,4,4
1512381557290.328,2,0,0,0,0,2,2
1512381557290.338,0,0,0,0,0,0,0
1512381557290.350,0,0,0,0,0,0,0
1512381557290.359,0,0,0,0,0,2,2
1512381557290.371,0,0,0,0,0,4,4
1512381557290.383,0,0,0,0,0,6,6
1512381557290.402,0,0,0,0,0,8,8
1512381557290.411,0,0,0,0,0,10,10
1512381557290.421,0,0,0,0,0,10,10
1512381557290.429,0,0,0,0,0,8,8
1512381557290.439,0,0,0,0,0,6,6
1512381557290.448,0,0,0,0,0,4,4
1512381557290.457,0,0,0,0,0,2,2
1512381557290.467,0,0,0,0,0,0,0
1512381557290.475,0,0,0,0,0,0,0
1512381557290.483,2,2,2,2,2,0,2
1512381557290.492,4,4,4,4,4,0,4
1512381557290.499,6,6,6,6,6,0,6
1512381557290.507,8,8,8,8,8,0,8
1512381557290.516,10,10,10,10,10,0,10
1512381557290.525,10,10,10,10,10,0,10
1512381557290.534,8,8,8,8,8,0,8
1512381557290.543,6,6,6,6,6,0,6
1512381557290.552,4,4,4,4,4,0,4
1512381557290.559,2,2,2,2,2,0,2
1512381557290.568,0,0,0,0,0,0,0
1512381557290.576,0,0,0,0,0,0,0
1512381557290.584,0,2,2,2,2,0,2
1512381557290.594,0,4,4,4,4,0,4
1512381557290.601,0,6,6,6,6,0,6
1512381557290.610,0,8,8,8,8,0,8
1512381557290.618,0,10,10,10,10,0,10
1512381557290.626,0,10,10,10,10,0,10
1512381557290.635,0,8,8,8,8,0,8
1512381557290.643,0,6,6,6,6,0,6
1512381557290.652,0,4,4,4,4,0,4
1512381557290.660,0,2,2,2,2,0,2
1512381557290.669,0,0,0,0,0,0,0
1512381557290.677,0,0,0,0,0,0,0
1512381557290.685,2,0,2,2,2,0,2
1512381557290.693,4,0,4,4,4,0,4
1512381557290.701,6,0,6,6,6,0,6
1512381557290.708,8,0,8,8,8,0,8
1512381557290.717,10,0,10,10,10,0,10
1512381557290.725,10,0,10,10,10,0,10
1512381557290.734,8,0,8,8,8,0,8
1512381557290.742,6,0,6,6,6,0,6
1512381557290.749,4,0,4,4,4,0,4
1512381557290.757,2,0,2,2,2,0,2
1512381557290.766,0,0,0,0,0,0,0
1512381557290.773,0,0,0,0,0,0,0
1512381557290.781,0,0,2,2,2,0,2
1512381557290.789,0,0,4,4,4,0,4
1512381557290.797,0,0,6,6,6,0,6
1512381557290.804,0,0,8,8,8,0,8
1512381557290.813,0,0,10,10,10,0,10
1512381557290.821,0,0,10,10,10,0,10
1512381557290.830,0,0,8,8,8,0,8
1512381557290.839,0,0,6,6,6,0,6
1512381557290.848,0,0,4,4,4,0,4
1512381557290.856,0,0,2,2,2,0,2
1512381557290.865,0,0,0,0,0,0,0
1512381557290.874,0,0,0,0,0,0,0
1512381557290.882,2,2,0,2,2,0,2
1512381557290.891,4,4,0,4,4,0,4
1512381557290.899,6,6,0,6,6,0,6
1512381557290.908,8,8,0,8,8,0,8
1512381557290.915,10,10,0,10,10,0,10
1512381557290.923,10,10,0,10,10,0,10
1512381557290.932,8,8,0,8,8,0,8
1512381557290.940,6,6,0,6,6,0,6
1512381557290.948,4,4,0,4,4,0,4
1512381557290.957,2,2,0,2,2,0,2
1512381557290.965,0,0,0,0,0,0,0
1512381557290.974,0,0,0,0,0,0,0
1512381557290.983,0,2,0,2,2,0,2
1512381557290.991,0,4,0,4,4,0,4
1512381557291.000,0,6,0,6,6,0,6
1512381557291.008,0,8,0,8,8,0,8
1512381557291.016,0,10,0,10,10,0,10
1512381557291.025,0,10,0,10,10,0,10
1512381557291.034,0,8,0,8,8,0,8
1512381557291.042,0,6,0,6,6,0,6
1512381557291.050,0,4,0,4,4,0,4
1512381557291.059,0,2,0,2,2,0,2
1512381557291.066,0,0,0,0,0,0,0
1512381557291.075,0,0,0,0,0,0,0
1512381557291.083,2,0,0,2,2,0,2
1512381557291.091,4,0,0,4,4,0,4
1512381557291.099,6,0,0,6,6,0,6
1512381557291.107,8,0,0,8,8,0,8
1512381557291.115,10,0,0,10,10,0,10
1512381557291.122,10,0,0,10,10,0,10
1512381557291.131,8,0,0,8,8,0,8
1512381557291.140,6,0,0,6,6,0,6
1512381557291.148,4,0,0,4,4,0,4
1512381557291.156,2,0,0,2,2,0,2
1512381557291.165,0,0,0,0,0,0,0
1512381557291.174,0,0,0,0,0,0,0
1512381557291.183,0,0,0,2,2,0,2
1512381557291.191,0,0,0,4,4,0,4
1512381557291.199,0,0,0,6,6,0,6
1512381557291.208,0,0,0,8,8,0,8
1512381557291.216,0,0,0,10,10,0,10
1512381557291.223,0,0,0,10,10,0,10
1512381557291.231,0,0,0,8,8,0,8
1512381557291.241,0,0,0,6,6,0,6
1512381557291.249,0,0,0,4,4,0,4
1512381557291.257,0,0,0,2,2,0,2
1512381557291.266,0,0,0,0,0,0,0
1512381557291.274,0,0,0,0,0,0,0
1512381557291.282,2,2,2,0,2,0,2
1512381557291.291,4,4,4,0,4,0,4
1512381557291.300,6,6,6,0,6,0,6
1512381557291.308,8,8,8,0,8,0,8
1512381557291.316,10,10,10,0,10,0,10
1512381557291.325,10,10,10,0,10,0,10
1512381557291.333,8,8,8,0,8,0,8
1512381557291.341,6,6,6,0,6,0,6
1512381557291.350,4,4,4,0,4,0,4
1512381557291.359,2,2,2,0,2,0,2
1512381557291.367,0,0,0,0,0,0,0
1512381557291.375,0,0,0,0,0,0,0
1512381557291.383,0,2,2,0,2,0,2
1512381557291.391,0,4,4,0,4,0,4
1512381557291.400,0,6,6,0,6,0,6
1512381557291.409,0,8,8,0,8,0,8
1512381557291.418,0,10,10,0,10,0,10
1512381557291.427,0,10,10,0,10,0,10
1512381557291.436,0,8,8,0,8,0,8
1512381557291.444,0,6,6,0,6,0,6
1512381557291.453,0,4,4,0,4,0,4
1512381557291.461,0,2,2,0,2,0,2
1512381557291.470,0,0,0,0,0,0,0
1512381557291.478,0,0,0,0,0,0,0
1512381557291.487,2,0,2,0,2,0,2
1512381557291.494,4,0,4,0,4,0,4
1512381557291.502,6,0,6,0,6,0,6
1512381557291.510,8,0,8,0,8,0,8
1512381557291.518,10,0,10,0,10,0,10
1512381557291.526,10,0,10,0,10,0,10
1512381557291.535,8,0,8,0,8,0,8
1512381557291.544,6,0,6,0,6,0,6
1512381557291.552,4,0,4,0,4,0,4
1512381557291.561,2,0,2,0,2,0,2
1512381557291.568,0,0,0,0,0,0,0
1512381557291.577,0,0,0,0,0,0,0
1512381557291.586,0,0,2,0,2,0,2
1512381557291.594,0,0,4,0,4,0,4
1512381557291.603,0,0,6,0,6,0,6
1512381557291.612,0,0,8,0,8,0,8
1512381557291.621,0,0,10,0,10,0,10
1512381557291.629,0,0,10,0,10,0,10
1512381557291.637,0,0,8,0,8,0,8
1512381557291.646,0,0,6,0,6,0,6
1512381557291.654,0,0,4,0,4,0,4
1512381557291.664,0,0,2,0,2,0,2
1512381557291.671,0,0,0,0,0,0,0
1512381557291.680,0,0,0,0,0,0,0
1512381557291.688,2,2,0,0,2,0,2
1512381557291.696,4,4,0,0,4,0,4
1512381557291.704,6,6,0,0,6,0,6
1512381557291.712,8,8,0,0,8,0,8
1512381557291.719,10,10,0,0,10,0,10
1512381557291.727,10,10,0,0,10,0,10
1512381557291.737,8,8,0,0,8,0,8
1512381557291.745,6,6,0,0,6,0,6
1512381557291.753,4,4,0,0,4,0,4
1512381557291.762,2,2,0,0,2,0,2
1512381557291.771,0,0,0,0,0,0,0
1512381557291.779,0,0,0,0,0,0,0
1512381557291.789,0,2,0,0,2,0,2
1512381557291.797,0,4,0,0,4,0,4
1512381557291.806,0,6,0,0,6,0,6
1512381557291.814,0,8,0,0,8,0,8
1512381557291.822,0,10,0,0,10,0,10
1512381557291.831,0,10,0,0,10,0,10
1512381557291.838,0,8,0,0,8,0,8
1512381557291.846,0,6,0,0,6,0,6
1512381557291.854,0,4,0,0,4,0,4
1512381557291.864,0,2,0,0,2,0,2
1512381557291.872,0,0,0,0,0,0,0
1512381557291.881,0,0,0,0,0,0,0
1512381557291.888,2,0,0,0,2,0,2
1512381557291.896,4,0,0,0,4,0,4
1512381557291.904,6,0,0,0,6,0,6
1512381557291.913,8,0,0,0,8,0,8
1512381557291.922,10,0,0,0,10,0,10
1512381557291.931,10,0,0,0,10,0,10
1512381557291.939,8,0,0,0,8,0,8
1512381557291.948,6,0,0,0,6,0,6
1512381557291.956,4,0,0,0,4,0,4
1512381557291.964,2,0,0,0,2,0,2
1512381557291.972,0,0,0,0,0,0,0
1512381557291.981,0,0,0,0,0,0,0
1512381557291.989,0,0,0,0,2,0,2
1512381557291.997,0,0,0,0,4,0,4
1512381557292.006,0,0,0,0,6,0,6
1512381557292.014,0,0,0,0,8,0,8
1512381557292.023,0,0,0,0,10,0,10
1512381557292.032,0,0,0,0,10,0,10
1512381557292.040,0,0,0,0,8,0,8
1512381557292.048,0,0,0,0,6,0,6
1512381557292.057,0,0,0,0,4,0,4
1512381557292.065,0,0,0,0,2,0,2
1512381557292.073,0,0,0,0,0,0,0
1512381557292.081,0,0,0,0,0,0,0
1512381557292.088,2,2,2,2,0,0,2
1512381557292.097,4,4,4,4,0,0,4
1512381557292.105,6,6,6,6,0,0,6
1512381557292.113,8,8,8,8,0,0,8
1512381557292.121,10,10,10,10,0,0,10
1512381557292.129,10,10,10,10,0,0,10
