"","time","measured_M0","reference_M0","command_M0","measured_M1","reference_M1","command_M1","measured_M2","reference_M2","command_M2","measured_M3","reference_M3","command_M3","measured_M4","reference_M4","command_M4","measured_M5","reference_M5","command_M5","measured_M6","reference_M6","command_M6","angle_0","angle_1","angle_2","angle_3","angle_4","angle_5","angle_6","JR3_FX","JR3_FY","JR3_FZ","JR3_MX","JR3_MY","JR3_MZ","map_creation_id","unix_time_seconds"
"11",21.9855,2.1408998,2.119145,0.32437628,4.90840318,4.900025,1.27581382,2.50592614,2.504023,0.33721034,3.54362394,3.554763,0.66235656,3.36540358,3.477285,0.7865863,-0.02495984,0.354841,10,-0.05206561,8.282055,10,116.64,124.56,-89.865,111.942,94.5,540427.6602,709982.604,1.67111481480169,0.0556131678864179,-0.488539226312438,-0.0229774526082756,-0.0526969422550388,0.00378704278925373,1512347428281.84,1512384811.48
"12",22.7865,8.46297008,8.485879,2.09000477,9.12515868,9.118894,2.28181585,4.04598442,4.046401,0.94216901,3.55243331,3.54144,0.98983968,9.90105111,9.871037,2.44279462,-0.03297861,1.067639,10,-0.05613142,3.493923,10,159.903,155.295,-100.5642,117.18,138.0474,564926.0742,734890.779,2.92200906395169,0.306131122026418,-0.483431733422438,0.000975674398924378,-0.0941646544080388,0.00842613750925373,1512347428281.48,1512384812
"13",23.5865,4.80268148,4.81999,0.90053153,7.83300355,7.865275,1.74438285,6.07688271,6.077708,1.39541144,5.96823277,5.966324,1.5645884,6.83584264,6.843169,1.43079493,-0.03117153,9.290931,10,-0.05918087,0.489502,10,149.22,154.44,-109.9368,128.1024,133.74,589587.3522,759920.5692,2.83437425255169,0.214014752846418,-0.849132784362438,-0.0163899122174756,-0.0878712697800388,0.00760539077925373,1512347428278.95,1512384813
"14",24.3875,4.91020079,4.929932,0.91508792,9.25165228,9.254013,2.31277207,4.19495303,4.208728,0.67399011,5.59631938,5.619093,1.20827937,3.32034031,3.318546,0.59583675,-0.03173624,0.894423,10,-0.0617785,9.7662,10,148.86,157.2516,-105.48,126.9,114.1362,614622.0096,785446.929,2.23872892795169,0.0238116787364179,-0.356222479622438,-0.0366636873352756,-0.0702132548980388,0.00460369025925373,1512347428279.87,1512384814
"15",25.1885,4.05366014,4.096628,0.77129535,7.83842472,7.844642,1.71821159,2.70029693,2.703895,0.37494616,6.25555371,6.275124,1.61364915,3.34462261,3.340471,0.60446792,-0.03410806,3.660039,10,-0.06053615,6.422251,10,143.1,155.34,-97.4052,127.8,112.86,639691.1172,811091.5758,2.26477515779169,0.0571486851164179,-0.396326780702438,-0.0292485243228756,-0.0715654875848388,0.00466373880925373,1512347428282.33,1512384815
"16",25.9895,1.12635551,1.1338,0.11523966,6.64452821,6.630675,1.39571277,1.78480032,1.790935,0.19812534,0.61450969,0.627673,0.00565316,3.16640232,3.164046,0.56267523,-0.03557621,5.712019,10,-0.05534086,9.537896,10,103.4496,143.46,-82.1286,80.7876,105.3,664197.453,836831.9736,1.44994207521169,-0.00142172502358209,0.0969208766375622,-0.0162917869700756,-0.0496867752832388,0.00181146522925373,1512347428282.06,1512384815.52
"17",26.7895,9.43753369,9.399715,2.28318083,4.03796908,4.041312,0.80763508,3.09355612,3.085152,0.74304606,3.67497393,3.673198,1.01412301,3.99775815,4.000609,1.04653451,-0.02902568,1.534994,10,-0.04788679,3.259579,10,164.0718,133.2,-91.3662,108.4896,111.24,689134.9662,862309.0332,1.89580503650169,0.122823549276418,-0.0212263191524378,-0.0132136105460756,-0.0627171556190388,0.00456642937925373,1512347428282.11,1512384816
"18",27.5905,9.50834749,9.490402,2.21194818,5.48135147,5.477518,1.40620733,3.62720055,3.636248,0.85411008,1.93681809,1.939033,0.334737,3.24218555,3.241198,0.59483196,-0.03083278,2.494421,10,-0.0555667,3.633675,10,166.5,136.8,-93.6,99.5868,109.26,714179.6082,887885.0082,1.74063587118169,0.0706964338064179,0.236866827977562,-0.0166034244066756,-0.0590693840726388,0.00367405879925373,1512347428278.73,1512384817
"19",28.3915,3.42379099,3.423708,0.59367376,3.00614269,2.999872,0.56715543,5.98077013,5.980014,1.39167468,0.96214079,0.964724,0.08844739,7.92391248,7.910309,1.99028275,-0.03071985,4.393403,10,-0.06155253,2.164421,10,138.1266,121.7394,-103.14,88.7346,130.6998,738923.9508,913054.1436,2.25159861245169,0.149872528716418,-0.497013856692438,-0.00835484922487562,-0.0749277702480388,0.00487914030925373,1512347428281.86,1512384818
"20",29.1925,6.06772788,6.068368,1.45159791,9.59273334,9.595582,2.40417332,4.44794005,4.444985,0.77356617,5.60072404,5.584444,1.47335902,2.37367227,2.37041,0.38729249,-0.02462103,0.764906,10,-0.0548891,1.893222,10,152.7426,159.759,-102.96,122.22,107.0892,763689.9024,938599.8444,1.88400896920169,-0.0212376247135821,-0.162609031802438,-0.0367830563862756,-0.0589062947930388,0.00361587942925373,1512347428280.38,1512384819
"21",29.9925,5.02088254,5.033175,0.96546886,7.16089319,7.166661,1.54525326,9.47436306,9.478975,2.06639666,1.96539206,1.958296,0.34318664,2.17173449,2.169927,0.34485565,-0.02767041,5.410478,10,-0.06064904,6.810448,10,151.2,155.16,-119.7,105.4998,102.8556,788391.8136,964344.1356,1.34306851604169,-0.196671527773582,-0.104321326582438,-0.0575798998350756,-0.0399955108698388,0.00115709551925373,1512347428280.32,1512384819.55
"22",30.7935,1.28040631,1.296629,0.15112468,7.47260963,7.469985,1.58007776,1.24889726,1.252027,0.08379582,0.61066976,0.615159,1.864e-05,2.11786182,2.101787,0.33553052,-0.02710573,2.766032,10,-0.05624439,9.049524,10,112.0608,150.12,-77.3496,78.8598,96.12,812207.0286,990224.5518,1.17208095909169,-0.0546229006335821,0.317855857897562,-0.0190848821278756,-0.0406076419308388,0.000971753999253732,1512347428281.86,1512384820
"23",31.5945,9.7233862,9.710557,2.24213775,7.31200795,7.311824,1.80428251,0.96846572,0.958579,0.01986892,2.78545368,2.794728,0.81633924,4.23312631,4.241847,1.10491481,-0.02089399,0.658352,10,-0.05195269,3.979201,10,168.9642,151.02,-75.24,101.88,111.0294,837073.8738,1015747.4484,1.86822496712169,0.102303678506418,0.374603998627562,-0.00773566047067562,-0.0642449549314388,0.00384460722925373,1512347428278.84,1512384821
"24",32.3955,1.43208532,1.426423,0.17090239,3.78701477,3.794216,0.75533995,8.78090744,8.785187,1.91873647,8.40334539,8.399706,2.13888474,6.31812284,6.311856,1.64612056,-0.03038095,0.816466,10,-0.05567965,8.222629,10,118.5948,136.251,-119.8152,137.5848,127.5354,861830.6364,1040906.2698,2.51625203981169,0.0831396864264179,-1.62954712180244,-0.0340570926590756,-0.0725964682652388,0.00602865912925373,1512347428279.92,1512384822
"25",33.1955,2.13423641,2.127814,0.57075323,3.57558978,3.581849,0.69412473,1.84138363,1.841016,0.2018564,7.32171313,7.351558,1.58838412,3.1276637,3.128056,0.55486636,-0.03173623,1.967817,10,-0.05635734,4.106035,10,118.62,130.4388,-89.2854,132.3,111.9276,886746.6684,1066454.8776,2.29149799648169,0.118996262746418,-0.919013668312438,-0.0191910981754756,-0.0719593680286388,0.00505156996925373,1512347428280.19,1512384823
"26",33.9965,9.69752277,9.695182,2.23515814,8.91870297,8.928522,2.26155207,7.20019016,7.184458,1.57139201,3.54509217,3.551459,0.72292314,6.73814896,6.73336,1.73579241,-0.02111983,7.75121,10,-0.05409849,8.676917,10,173.7486,161.1846,-116.1648,124.7346,130.0428,911510.3826,1091633.7348,2.31898371821169,0.0806247512064179,-0.378677600642438,-0.0265779794646756,-0.0718632205632388,0.00547569683925373,1512347428280.9,1512384823.59
"27",34.7975,0.68453236,0.722216,0.02291713,4.89914203,4.896955,1.00506797,1.36454838,1.346247,0.09645782,10.02325279,9.989876,2.4744881,5.94169173,5.952949,1.24558101,-0.03151037,2.806444,10,-0.05330792,3.364578,10,101.1924,141.9786,-87.2226,143.9856,129.06,936414.243,1116870.453,2.94769877127169,0.259280011706418,-1.48548557368244,-0.00798502083467562,-0.0902544515644388,0.00789618960925373,1512347428280.26,1512384824
"28",35.5985,1.1740164,1.181798,0.39997988,6.98007503,6.977158,1.74198732,7.61039066,7.614598,1.67145255,0.52246319,0.300665,0,9.5669727,9.588527,2.3917806,-0.02834807,2.648649,10,-0.05951961,7.573753,10,103.7142,145.98,-113.4648,89.0928,143.622,960957.144,1141803.0216,2.57332544555169,0.101282901346418,-0.713579678472438,-0.0145664370874756,-0.0840857838700388,0.00459650532925373,1512347428282.44,1512384825
"29",36.3985,6.26322789,6.283752,1.48834152,2.9790369,2.96802,0.56701053,4.99683149,4.986998,0.86550877,8.84460443,8.864994,2.23691005,4.23109335,4.226547,0.81633894,-0.03151044,5.339148,10,-0.05658321,8.082872,10,152.28,130.671,-110.34,142.1856,127.62,985893.5268,1167106.419,2.69536701153169,0.156676769706418,-1.16578555738244,-0.0233412725546756,-0.0822751508496388,0.00668268557925373,1512347428280.65,1512384826
"30",37.1995,0.632128,0.065927,0,3.05651423,3.055417,0.57784134,4.46623641,4.468705,0.74589179,7.16879156,7.18338,1.55401752,7.75450158,7.767392,1.93215277,-0.02371745,8.314138,10,-0.05545379,1.051932,10,93.4614,127.08,-107.64,137.88,138.96,1010679.2874,1192247.2458,2.96621016685169,0.227251469196418,-1.64879410726244,-0.0126225997444756,-0.0905570335860388,0.00750747586925373,1512347428279.11,1512384827
